1,1.0,1
2,4.0,1
3,7.0,1
4,8.0,1
5,12.0,1
6,15.0,1
7,14.0,1
8,15.0,1
9,17.0,1
10,20.0,1
11,23.0,1
12,25.0,1
13,28.0,1
14,34.0,1
15,38.0,1
16,45.0,1
17,50.0,1
18,46.0,1
19,45.0,1
20,47.0,1
21,57.0,1
22,60.0,2
23,60.0,2
24,60.0,2
25,58.2,1
26,53.2,1
27,60.0,2
28,60.0,2
29,53.2,1
30,60.0,2
31,60.0,2
32,60.0,2
33,57.2,1
34,59.4,1
35,60.0,2
36,60.0,2
37,60.0,2
38,58.8,1
39,60.0,2
40,60.0,2
41,53.9,1
42,59.1,1
43,60.0,2
44,60.0,2
45,60.0,2
46,60.0,2
47,60.0,2
48,60.0,2
49,58.4,1
50,60.0,2
51,55.4,1
52,60.0,2
53,60.0,2
54,55.4,1
55,56.4,1
56,60.0,2
57,52.4,1
58,54.4,1
59,60.0,2
60,59.6,1
61,60.0,2
62,60.0,2
63,60.0,2
64,60.0,2
65,60.0,2
66,57.7,1
67,60.0,2
68,59.9,1
69,54.9,1
70,57.9,1
71,55.9,1
72,60.0,2
73,60.0,2
74,60.0,2
75,60.0,2
76,56.9,1
77,57.9,1
78,57.9,1
79,60.0,2
80,56.0,1
81,60.0,2
82,60.0,2
83,60.0,2
84,58.4,1
85,60.0,2
86,60.0,2
87,60.0,2
88,55.5,1
89,60.0,2
90,60.0,2
91,56.5,1
92,60.0,2
93,58.7,1
94,60.0,2
95,58.0,1
96,60.0,2
97,60.0,2
98,51.0,1
99,54.0,1
100,51.1,1
101,51.1,1
102,51.1,1
103,48.1,1
104,58.3,1
105,60.0,2
106,60.0,2
107,55.3,1
108,52.3,1
109,47.3,1
110,52.3,1
111,53.3,1
112,55.3,1
113,58.5,1
114,60.0,2
115,59.8,1
116,55.8,1
117,56.8,1
118,60.0,2
119,59.0,1
120,60.0,2
121,52.0,1
122,54.0,1
123,50.0,1
124,53.0,1
125,60.0,2
126,60.0,2
127,59.2,1
128,60.0,2
129,60.0,2
130,60.0,2
131,60.0,2
132,59.5,1
133,60.0,2
134,60.0,2
135,59.8,1
136,60.0,2
137,60.0,2
138,55.0,1
139,54.0,1
140,50.0,1
141,54.0,1
142,59.2,1
143,60.0,2
144,60.0,2
145,60.0,2
146,60.0,2
147,60.0,2
148,60.0,2
149,57.3,1
150,57.3,1
151,59.5,1
152,60.0,2
153,60.0,2
154,55.6,1
155,60.0,2
156,54.6,1
157,57.6,1
158,60.0,2
159,60.0,2
160,60.0,2
161,57.6,1
162,57.6,1
163,60.0,2
164,60.0,2
165,60.0,2
166,60.0,2
167,60.0,2
168,56.6,1
169,55.6,1
170,60.0,2
171,54.6,1
172,57.6,1
173,59.8,1
174,59.1,1
175,56.1,1
176,60.0,2
177,58.3,1
178,60.0,2
179,59.6,1
180,59.0,1
181,60.0,2
182,58.2,1
183,60.0,2
184,60.0,2
185,52.3,1
186,57.3,1
187,53.3,1
188,54.3,1
189,53.3,1
190,56.3,1
191,60.0,2
192,60.0,2
193,60.0,2
194,54.3,1
195,52.3,1
196,56.3,1
197,60.0,2
198,59.5,1
199,57.5,1
200,60.0,2
201,60.0,2
202,54.5,1
203,60.0,2
204,60.0,2
205,60.0,2
206,60.0,2
207,58.7,1
208,60.0,2
209,52.7,1
210,56.7,1
211,57.7,1
212,60.0,2
213,60.0,2
214,60.0,2
215,60.0,2
216,60.0,2
217,60.0,2
218,57.7,1
219,60.0,2
220,58.9,1
221,54.9,1
222,60.0,2
223,60.0,2
224,60.0,2
225,60.0,2
226,55.9,1
227,51.9,1
228,60.0,2
229,56.9,1
230,59.1,1
231,60.0,2
232,60.0,2
233,51.2,1
234,57.2,1
235,57.2,1
236,60.0,2
237,57.2,1
238,60.0,2
239,60.0,2
240,57.2,1
241,56.2,1
242,60.0,2
243,59.5,1
244,60.0,2
245,58.8,1
246,60.0,2
247,57.8,1
248,51.8,1
249,60.0,1
250,60.0,2
251,60.0,2
252,60.0,2
253,56.1,1
254,58.3,1
255,60.0,2
256,60.0,2
257,55.4,1
258,56.4,1
259,58.6,1
260,60.0,2
261,60.0,2
262,60.0,1
263,60.0,2
264,60.0,2
265,58.3,1
266,60.0,2
267,57.4,1
268,59.6,1
269,60.0,2
270,59.9,1
271,60.0,2
272,60.0,2
273,60.0,2
274,60.0,2
275,60.0,2
276,60.0,2
277,60.0,2
278,54.9,1
279,50.9,1
280,47.9,1
281,56.9,1
282,55.9,1
283,52.9,1
284,60.0,2
285,55.0,1
286,54.0,1
287,60.0,2
288,60.0,2
289,59.2,1
290,60.0,2
291,60.0,2
292,60.0,2
293,59.5,1
294,60.0,2
295,60.0,2
296,60.0,2
297,59.8,1
298,60.0,2
299,51.0,1
300,54.0,1
301,55.0,1
302,56.0,1
303,42.0,1
304,44.0,1
305,45.0,1
306,45.0,1
307,44.0,1
308,47.0,1
309,55.0,1
310,56.0,1
311,60.0,2
312,60.0,2
313,60.0,2
314,55.0,1
315,54.0,1
316,58.2,1
317,58.5,1
318,54.5,1
319,57.5,1
320,60.0,2
321,53.6,1
322,56.6,1
323,58.8,1
324,60.0,2
325,60.0,2
326,60.0,2
327,60.0,2
328,53.0,1
329,55.0,1
